recipe,ingredient,quantity
Canh Tương Đậu,Nấm đông cô tươi,5 tai
Canh Tương Đậu,Giá sống/ giá đậu nành,100g
Canh Tương Đậu,Hành tây,1/2 củ
Canh Tương Đậu,Tỏi băm,1M
Canh Tương Đậu,Lá hành boaro,
Canh Tương Đậu,"Tương đậu Hàn Quốc, tiêu, muối, dầu mè đen",
Gỏi Sứa Tiến Vua,Sứa ngâm chua ngọt,250g
Gỏi Sứa Tiến Vua,Tôm đất to,150g
Gỏi Sứa Tiến Vua,Thịt ba chỉ,100g
Gỏi Sứa Tiến Vua,Xoài keo,1 quả nhỏ
Gỏi Sứa Tiến Vua,Rau tiến vua khô,50g
Gỏi Sứa Tiến Vua,Cà rốt,30g
Gỏi Sứa Tiến Vua,Húng lũi,30g
Gỏi Sứa Tiến Vua,Hành phi + dầu phi hành,3M ( mỗi loại)
Gỏi Sứa Tiến Vua,"Tỏi ớt giã nhuyễn, mè rang",
Gỏi Sứa Tiến Vua,Nước mắm kẹo,3M
Gỏi Sứa Tiến Vua,(Nấu từ đường và nước mắm tỉ lệ,11 )
Gỏi Sứa Tiến Vua,"Đường, nước mắm, tương ớt",
Bí Đỏ Kho Rong Biển,Bí đỏ,300g
Bí Đỏ Kho Rong Biển,Rong biển wakame,20g
Bí Đỏ Kho Rong Biển,Chả lụa chay,100g
Bí Đỏ Kho Rong Biển,Ớt hiểm,2 trái
Bí Đỏ Kho Rong Biển,Tiêu xanh,2 nhánh
Bí Đỏ Kho Rong Biển,Nước dừa tươi,1 chén
Bí Đỏ Kho Rong Biển,"Lá húng quế, hành boa-rô cắt lát",
Bí Đỏ Kho Rong Biển,"Đường, màu dầu điều, dầu ăn",
Mực Xào Hoa Trứng,Mực lá,200g
Mực Xào Hoa Trứng,Trứng muối,3 quả
Mực Xào Hoa Trứng,Ớt sừng,2 quả
Mực Xào Hoa Trứng,Ớt chuông xanh,1/4 quả
Mực Xào Hoa Trứng,Cần tây,50g
Mực Xào Hoa Trứng,Bột xù,50g
Mực Xào Hoa Trứng,Trứng gà,1 quả
Mực Xào Hoa Trứng,Hành lá,3 cây
Mực Xào Hoa Trứng,Hành tím cắt lát,5 củ
Mực Xào Hoa Trứng,Tỏi băm,2M
Mực Xào Hoa Trứng,"Tương ớt, dầu hào",
Mực Xào Hoa Trứng,"Tiêu, đường, bột mì, dầu mè đen, màu dầu điều",
Cá Lưỡi Trâu Chiên Giòn,Cá lưỡi trâu,500g
Cá Lưỡi Trâu Chiên Giòn,Ớt chuông đỏ,1 quả
Cá Lưỡi Trâu Chiên Giòn,Ớt chuông xanh,1 quả
Cá Lưỡi Trâu Chiên Giòn,Tỏi băm,1M
Cá Lưỡi Trâu Chiên Giòn,Ớt băm,1M
Cá Lưỡi Trâu Chiên Giòn,Thì là,3 cọng
Cá Lưỡi Trâu Chiên Giòn,"Đường, muối, dầu mè đen, dầu ăn",
Sườn Kho Củ Năng,Sườn non,500g
Sườn Kho Củ Năng,Củ năng gọt vỏ,200g
Sườn Kho Củ Năng,Nước cốt me,6M
Sườn Kho Củ Năng,Ớt hiểm,2 trái
Sườn Kho Củ Năng,Nước dừa tươi,1 chén
Sườn Kho Củ Năng,"Tỏi ớt băm, ngò rí",
Sườn Kho Củ Năng,"Đường, nước mắm, dầu ăn",
Canh Cua Đồng Rong Biển,Thịt cua đồng xay,500g
Canh Cua Đồng Rong Biển,Rong biểm wakame,10g
Canh Cua Đồng Rong Biển,Cà chua chín,2 trái
Canh Cua Đồng Rong Biển,Mỡ cắt vuông,"1,5cm 3M"
Canh Cua Đồng Rong Biển,Hành tím băm,4 củ
Canh Cua Đồng Rong Biển,"Thì là, hành lá",
Canh Cua Đồng Rong Biển,"Tiêu, muối, nước mắm, dầu ăn, đường.",
Đu Đủ Trộn Gà Khìa,Gà ta,1/2 con
Đu Đủ Trộn Gà Khìa,Đu đủ xanh bào sợi,200g
Đu Đủ Trộn Gà Khìa,Xoài xanh,100g
Đu Đủ Trộn Gà Khìa,Dưa leo,200g
Đu Đủ Trộn Gà Khìa,Cà rốt,100g
Đu Đủ Trộn Gà Khìa,Ớt sừng cắt sợi,1 trái
Đu Đủ Trộn Gà Khìa,Nước dừa tươi,1 chén
Đu Đủ Trộn Gà Khìa,Ăn kèm,bánh phồng tôm
Đu Đủ Trộn Gà Khìa,"Tỏi băm, ớt hiểm băm, lá chanh, hành tím phi",
Đu Đủ Trộn Gà Khìa,"Dầu ăn, nước mắm, tương ớt, đường thốt nốt, đậu phộng rang",
Viên Xôi Chiên,Xôi trắng dẻo nóng,400g
Viên Xôi Chiên,Thịt xá xíu cắt hạt lựu nhỏ,100g
Viên Xôi Chiên,Chả lụa cắt hạt lựu nhỏ,100g
Viên Xôi Chiên,Thịt xay,100g
Viên Xôi Chiên,Dừa bào,50g
Viên Xôi Chiên,Hẹ lá cắt nhỏ,30g
Viên Xôi Chiên,Hành tím bào,40g
Viên Xôi Chiên,Nước cốt dừa,100ml
Viên Xôi Chiên,Bánh tráng tròn nhỏ,8 cái
Viên Xôi Chiên,"Dầu ăn,muối, tiêu, đường, tương ớt, bột năng",
Viên Xôi Chiên,"Xốt mận hoặc tương xí muội, tương ớt, mè trắng rang",
Đọt Su Xào Tép,Đọt su su,300g
Đọt Su Xào Tép,Tép bạc nhỏ,200g
Đọt Su Xào Tép,Su su non,3 trái
Đọt Su Xào Tép,Cà rốt,1/2 củ
Đọt Su Xào Tép,"Tỏi băm, ớt băm, nước cốt chanh",
Đọt Su Xào Tép,"Muối, tiêu, đường, nước mắm, dầu ăn",
Bánh Tráng Cuốn Xốt Mayo,Bánh tráng vuông,10 cái
Bánh Tráng Cuốn Xốt Mayo,Xoài keo,1 quả
Bánh Tráng Cuốn Xốt Mayo,Khô bò xé sợi,50g
Bánh Tráng Cuốn Xốt Mayo,Ruốc khô,50g
Bánh Tráng Cuốn Xốt Mayo,Trứng cút luộc (bóc vỏ),10 quả
Bánh Tráng Cuốn Xốt Mayo,Mỡ hành,1/2 chén
Bánh Tráng Cuốn Xốt Mayo,Rau răm,50g
Bánh Tráng Cuốn Xốt Mayo,"Đường, tương ớt, dầu ăn",
Bánh Tráng Cuốn Xốt Mayo,"Đậu phộng rang, hành phi, tỏi băm, ớt băm",
Gà Nổ Muối,Gà ta mổ moi,1 con (khoảng 1kg)
Gà Nổ Muối,Hành tây,1 củ
Gà Nổ Muối,Hành lá,5 nhánh
Gà Nổ Muối,Sả cây để nguyên lá,10 nhánh
Gà Nổ Muối,"Nước cốt chanh, lá chanh",
Gà Nổ Muối,Sả băm,
Gà Nổ Muối,"Muối hột, đường, tiêu",
Nụ Bí Bọc Giò Sống,Nụ bí giống Nhật,300g
Nụ Bí Bọc Giò Sống,Giò sống,150g
Nụ Bí Bọc Giò Sống,Trứng gà,1 quả
Nụ Bí Bọc Giò Sống,Hành lá cắt nhỏ,
Nụ Bí Bọc Giò Sống,Đầu hành lá băm,
Nụ Bí Bọc Giò Sống,Ngò rí băm,
Nụ Bí Bọc Giò Sống,"Tiêu, nước mắm, tương ớt, dầu ăn",
Cuốn Cá Xốt Xoài,Cá lóc phi lê,300g
Cuốn Cá Xốt Xoài,Xà lách Mỹ,100g
Cuốn Cá Xốt Xoài,Cà rốt,100g
Cuốn Cá Xốt Xoài,"Rau thơm (húng cây, tía tô)",50g
Cuốn Cá Xốt Xoài,Bơ chín,1 quả
Cuốn Cá Xốt Xoài,Xoài keo,1/4 trái
Cuốn Cá Xốt Xoài,Bún tươi,200g
Cuốn Cá Xốt Xoài,Bánh tráng,
Cuốn Cá Xốt Xoài,"Nước cốt chanh, đường, tương ớt, dầu ăn",
Cua Xào Cay,Cua thịt,500g (~ 2 con)
Cua Xào Cay,Củ cải trắng,1/2 củ
Cua Xào Cay,Bí ngòi vàng,1 quả
Cua Xào Cay,Hành tây,1/2 củ
Cua Xào Cay,Hành boaro,1/2 cây
Cua Xào Cay,Ớt sừng,1 trái
Cua Xào Cay,Ớt hiểm,1 trái
Cua Xào Cay,Tỏi băm,1M
Cua Xào Cay,RAU NÊM,Húng quế
Cua Xào Cay,"Đường, muối, ớt bột Hàn Quốc, nước mắm, dầu ăn",
Khổ Qua Xào Chay,Khổ qua rừng,200g
Khổ Qua Xào Chay,Nấm đùi gà,50g
Khổ Qua Xào Chay,Nấm linh chi,50g
Khổ Qua Xào Chay,Nấm bào ngư,50g
Khổ Qua Xào Chay,"Ớt chuông đỏ, vàng",100g
Khổ Qua Xào Chay,Bò lát chay,30g
Khổ Qua Xào Chay,RAU NÊM,ớt sừng cắt lát
Khổ Qua Xào Chay,"Boa rô cắt lát, ngò rí, ớt",
Khổ Qua Xào Chay,"Muối, đường, tiêu, dầu hào chay, dầu ăn",
Gnocchi Khoai Tây Xào Bò,Thịt bò phi lê,200g
Gnocchi Khoai Tây Xào Bò,Khoai tây,2 củ (200g)
Gnocchi Khoai Tây Xào Bò,Cà chua chín mọng,2 quả
Gnocchi Khoai Tây Xào Bò,Hành tây,1/2 củ
Gnocchi Khoai Tây Xào Bò,Bột mì,100g
Gnocchi Khoai Tây Xào Bò,Bột năng,1M
Gnocchi Khoai Tây Xào Bò,Lá quế tây,
Gnocchi Khoai Tây Xào Bò,"Tỏi băm, bơ lạt, phô mai bột",
Gnocchi Khoai Tây Xào Bò,"Muối, đường, tiêu, dầu ăn",
Canh Rau Củ Ba Rọi Xông Khói,Ba rọi xông khói,100g
Canh Rau Củ Ba Rọi Xông Khói,Khoai tây (,1 củ) 200g
Canh Rau Củ Ba Rọi Xông Khói,Cà rốt,100g
Canh Rau Củ Ba Rọi Xông Khói,Bông cải xanh,100g
Canh Rau Củ Ba Rọi Xông Khói,Hành tây,1/4 củ
Canh Rau Củ Ba Rọi Xông Khói,Nước dùng,1 lít
Canh Rau Củ Ba Rọi Xông Khói,"Hành lá, ngò rí, hành tím bào",
Canh Rau Củ Ba Rọi Xông Khói,Cơm nóng,
Canh Rau Củ Ba Rọi Xông Khói,"Muối, tiêu, dầu ăn",
Bò Cuộn Lá Quế Nướng,Thịt bò xay,200g
Bò Cuộn Lá Quế Nướng,Thịt ba rọi xông khói,"400g (Chọn loại bản lớn, dài)"
Bò Cuộn Lá Quế Nướng,Lá quế tây (basil),50g
Bò Cuộn Lá Quế Nướng,Phô mai Mozzarella,80g
Bò Cuộn Lá Quế Nướng,Trứng gà,1 cái
Bò Cuộn Lá Quế Nướng,Bột xù,2 M
Bò Cuộn Lá Quế Nướng,Tiêu xanh,1M
Bò Cuộn Lá Quế Nướng,"Dầu ăn, muối, đường, tương ớt",
Bò Cuộn Lá Quế Nướng,"Xốt mù tạt vàng, mật ong, tương cà",
Canh Chua Hải Sản,Tôm đất,100g
Canh Chua Hải Sản,Mực làm sạch,100g
Canh Chua Hải Sản,Nấm rơm,100g
Canh Chua Hải Sản,Cà tím,100g
Canh Chua Hải Sản,Sả cây,2 cây
Canh Chua Hải Sản,Riềng,1 củ nhỏ
Canh Chua Hải Sản,Nghệ,1 củ nhỏ
Canh Chua Hải Sản,Nước cốt dừa,5M
Canh Chua Hải Sản,Lá chanh cắt nhuyễn.,
Canh Chua Hải Sản,Bún,
Canh Chua Hải Sản,"Đường, nước mắm, dầu ăn",
Cá Lóc Đồng Kho Nghệ,Cá lóc đồng,2 con (700g)
Cá Lóc Đồng Kho Nghệ,Nghệ tươi cắt lát,30g
Cá Lóc Đồng Kho Nghệ,Nước nghệ tươi,2M
Cá Lóc Đồng Kho Nghệ,Củ nén bằm nhỏ,15g
Cá Lóc Đồng Kho Nghệ,Sả băm,1M
Cá Lóc Đồng Kho Nghệ,Ớt bột (VN) loại có vảy,2M
Cá Lóc Đồng Kho Nghệ,Nước dừa tươi,2 chén
Cá Lóc Đồng Kho Nghệ,Đầu hành lá cắt khúc,20g
Cá Lóc Đồng Kho Nghệ,"Dầu ăn, đường, nước mắm, tiêu sọ bể",
Cá Lóc Đồng Kho Nghệ,"Húng lủi, cải con, rau thơm Bắc, bắp cải bào mỏng, ngò gai cắt nhỏ",
Bánh Rán Vị Chanh,Chanh vàng,1 quả
Bánh Rán Vị Chanh,Kem làm bánh (topping cream),100g
Bánh Rán Vị Chanh,Kẹo đường nhiều màu,1M
Bánh Rán Vị Chanh,"Húng lũi, siro dâu",
Phở Xào,Bánh phở sợi to,300g
Phở Xào,Tim heo,200g
Phở Xào,Hành tây ½ củ,
Phở Xào,Bông hẹ,100g
Phở Xào,Cà rốt ½ củ,
Phở Xào,Nước bột năng,1M
Phở Xào,Nước dùng,1 chén
Phở Xào,"Gừng xắt sợi, ớt băm",
Phở Xào,"Đường, tiêu, dầu ăn, tỏi băm",
Bánh Canh Cá Lóc,Cá lóc,1 con (800g)
Bánh Canh Cá Lóc,Bánh canh bột gạo,500g
Bánh Canh Cá Lóc,Xương bọng gà,2 bộ
Bánh Canh Cá Lóc,Tôm khô,20g
Bánh Canh Cá Lóc,Củ cải trắng,1/2 củ
Bánh Canh Cá Lóc,Cà rốt,1/2 củ
Bánh Canh Cá Lóc,"Rau đắng, rau má",200g
Bánh Canh Cá Lóc,"Giá, chanh",100g
Bánh Canh Cá Lóc,"Muối, tiêu, đường, nước mắm",
Bánh Canh Cá Lóc,"Gừng nướng, hành tím nướng, hành lá, ngò rí",
Bánh Canh Cá Lóc,"Ớt sừng, ớt hiểm băm, hành tỏi phi, gừng cắt sợi",
Dồi Trường Xào Bắp Cải Tím,Dồi trường,300g
Dồi Trường Xào Bắp Cải Tím,Bắp cải tím,150g
Dồi Trường Xào Bắp Cải Tím,Bông hẹ,50g
Dồi Trường Xào Bắp Cải Tím,Cần tây,50g
Dồi Trường Xào Bắp Cải Tím,Hành tây,1/2 củ
Dồi Trường Xào Bắp Cải Tím,Gừng cắt sợi,2M
Dồi Trường Xào Bắp Cải Tím,Ớt sừng cắt sợi,1 trái
Dồi Trường Xào Bắp Cải Tím,"Hành, ngò.",
Dồi Trường Xào Bắp Cải Tím,"Tiêu, đường, sa tế, dầu ăn, hành tỏi băm",
Gỏi Ếch Rau Rừng,Ếch,300g
Gỏi Ếch Rau Rừng,Rau rừng các loại,100g
Gỏi Ếch Rau Rừng,Xà lách mỡ,100g
Gỏi Ếch Rau Rừng,Hành tây tím,1/2 củ
Gỏi Ếch Rau Rừng,Hành tím cắt lát,2 củ
Gỏi Ếch Rau Rừng,Lòng đỏ trứng gà,2 cái
Gỏi Ếch Rau Rừng,Tỏi ớt băm,1M
Gỏi Ếch Rau Rừng,"Ớt sợi, đậu phộng rang, hành tím phi, nước hành tỏi",
Gỏi Ếch Rau Rừng,"Muối, đường, bột mì, nước mắm, dầu ăn",
Gỏi Ếch Rau Rừng,Ăn kèm,bún gạo chiên giòn
Bí Đỏ Hấp Hải Sản,Bí đỏ tròn (cỡ vừa),1 quả
Bí Đỏ Hấp Hải Sản,Tôm sú,50g
Bí Đỏ Hấp Hải Sản,Mực tươi,100g
Bí Đỏ Hấp Hải Sản,Bí đỏ miếng,150g
Bí Đỏ Hấp Hải Sản,Củ năng,50g
Bí Đỏ Hấp Hải Sản,Nấm hương,4 tai
Bí Đỏ Hấp Hải Sản,Nấm linh chi nâu,50g
Bí Đỏ Hấp Hải Sản,Ớt sừng,1/2 trái
Bí Đỏ Hấp Hải Sản,"Hành tỏi băm, ngò gai",
Bí Đỏ Hấp Hải Sản,"Đường, tiêu, dầu hào, dầu ăn",
Canh Cà Chua Thịt Bò,Thịt nạc dăm xay,50g
Canh Cà Chua Thịt Bò,Thịt bò xay,100g
Canh Cà Chua Thịt Bò,Cà chua,3 trái
Canh Cà Chua Thịt Bò,Khoai tây,1 củ
Canh Cà Chua Thịt Bò,Ngò gai băm,2 nhánh
Canh Cà Chua Thịt Bò,"Hành lá, ngò rí",
Canh Cà Chua Thịt Bò,Hành tím băm,
Canh Cà Chua Thịt Bò,"Muối, tiêu, đường, nước mắm, dầu ăn.",
Mít Non Om Nước Cốt Dừa,Mít non luộc,300g
Mít Non Om Nước Cốt Dừa,Tàu hủ ky chiên sẵn,100g
Mít Non Om Nước Cốt Dừa,Khoai sọ luộc,6 củ (200g)
Mít Non Om Nước Cốt Dừa,Nước cốt dừa,1 chén
Mít Non Om Nước Cốt Dừa,Nước dão dừa,3 chén
Mít Non Om Nước Cốt Dừa,Xốt dầu gấc,2M
Mít Non Om Nước Cốt Dừa,"Ớt hiểm, hành boaro băm, sả băm",
Mít Non Om Nước Cốt Dừa,"Rau quế, rau răm cắt nhỏ",
Mít Non Om Nước Cốt Dừa,"Dầu ăn, đường",
Cơm Chiên Nấm Mặn,Cơm trắng,500g
Cơm Chiên Nấm Mặn,Nấm bào ngư,100g
Cơm Chiên Nấm Mặn,Nấm đông cô khô,5 tai
Cơm Chiên Nấm Mặn,Củ năng,50g
Cơm Chiên Nấm Mặn,Rong biển bột,1M
Cơm Chiên Nấm Mặn,Ớt sợi,20g
Cơm Chiên Nấm Mặn,Boa-rô băm,1M
Cơm Chiên Nấm Mặn,Ngò rí,
Cơm Chiên Nấm Mặn,"Dầu mè, tiêu, đường, bột mì, ớt.",
Gỏi Bưởi Chay,Bưởi,1 trái
Gỏi Bưởi Chay,Sườn non chay,100g
Gỏi Bưởi Chay,Tàu hũ ky lá,2 miếng cỡ bàn tay
Gỏi Bưởi Chay,Chanh vàng,1 trái
Gỏi Bưởi Chay,Cần tàu,1 cây
Gỏi Bưởi Chay,Boa-rô phi,1/2 chén
Gỏi Bưởi Chay,Dừa nạo,"1/2 chén (chọn phần trắng, nạo to như ăn xôi )"
Gỏi Bưởi Chay,"Húng lủi, ớt băm, ớt sừng cắt sợi",
Gỏi Bưởi Chay,Mè trắng rang,
Gỏi Bưởi Chay,"Muối, đường, dầu ăn, nước mắm chay",
"Cá Cơm, Bắp Chiên Phô Mai",Bắp hạt,200g
"Cá Cơm, Bắp Chiên Phô Mai",Phô mai bột,50g
"Cá Cơm, Bắp Chiên Phô Mai",Trứng gà,2 cái
"Cá Cơm, Bắp Chiên Phô Mai",Cá cơm,100g
"Cá Cơm, Bắp Chiên Phô Mai","Hành lá, ngò rí",
"Cá Cơm, Bắp Chiên Phô Mai",Dầu ăn,
Bao Tử Kho Xốt Cay,Bao tử heo làm sạch (khoảng,600g) 1 cái
Bao Tử Kho Xốt Cay,Gừng băm nhỏ,2M
Bao Tử Kho Xốt Cay,Ớt hiểm băm nhỏ,2M
Bao Tử Kho Xốt Cay,Hoa xuyên tiêu rang giã bể,1M
Bao Tử Kho Xốt Cay,Hành tím củ nhỏ,10 củ
Bao Tử Kho Xốt Cay,Tỏi củ nhỏ,10 củ
Bao Tử Kho Xốt Cay,Đầu hành lá cắt khúc,2M
Bao Tử Kho Xốt Cay,Nước dừa tươi,1 trái
Bao Tử Kho Xốt Cay,RAU NÊM,Hành lá cắt nhỏ
Bao Tử Kho Xốt Cay,"Đường, dầu ăn, dầu màu điều, dầu hào, tiêu sọ bể",
Bún Gạo Xào Rau Củ,Bún gạo ngâm nở,100g
Bún Gạo Xào Rau Củ,Nấm rơm,200g
Bún Gạo Xào Rau Củ,Đậu hũ chiên,1 miếng
Bún Gạo Xào Rau Củ,Gà chay,100g
Bún Gạo Xào Rau Củ,Cải ngọt,5 nhánh
Bún Gạo Xào Rau Củ,Giá,200g
Bún Gạo Xào Rau Củ,Cà rốt ½ củ,
Bún Gạo Xào Rau Củ,Đậu phộng rang,30g
Bún Gạo Xào Rau Củ,"Cần tàu, ớt băm, boaro băm",
Bún Gạo Xào Rau Củ,Nước cốt chanh,
Bún Gạo Xào Rau Củ,"Đường, dầu ăn, muối",
Tôm Thịt Xào Mắm Ruốc,Thịt ba rọi,200g
Tôm Thịt Xào Mắm Ruốc,Tôm đất,100g
Tôm Thịt Xào Mắm Ruốc,Tôm khô,50g
Tôm Thịt Xào Mắm Ruốc,Mắm ruốc,50g
Tôm Thịt Xào Mắm Ruốc,Ăn kèm,"khổ qua luộc, dưa leo, cà chua xanh"
Tôm Thịt Xào Mắm Ruốc,"Đường, dầu ăn, sả băm, tỏi băm, ớt băm, ớt hiểm đập dập.",
Gà Kho Rau Củ,Thịt má đùi gà,400g
Gà Kho Rau Củ,Củ sen,100g
Gà Kho Rau Củ,Măng luộc,100g
Gà Kho Rau Củ,Cà rốt,100g
Gà Kho Rau Củ,Nấm đông cô ngâm nở,8 tai
Gà Kho Rau Củ,Hành tây,1/2 củ
Gà Kho Rau Củ,"Ớt hiểm, hành lá, sả cây",
Gà Kho Rau Củ,"Muối, đường, tiêu, ớt bột",
Gà Kho Rau Củ,"Hành tỏi băm, dầu mè, màu dầu điều, nước dừa tươi",
Lẩu Nhúng Cay,Thịt cổ bò,200g
Lẩu Nhúng Cay,Bạch tuộc,200g
Lẩu Nhúng Cay,Thịt ba rọi,150g
Lẩu Nhúng Cay,Đậu hũ non,1 miếng
Lẩu Nhúng Cay,Nước dùng,"1,5 lít"
Lẩu Nhúng Cay,Thanh cua,
Lẩu Nhúng Cay,"Hành lá, rau quế, hành tím bào, ớt hiểm băm",
Lẩu Nhúng Cay,Rau ăn kèm,"nấm rơm, nấm bào ngư, nấm kim châm, cải thảo, bông hành, bông thiên lý Dầu ăn, muối, đường, nước mắm, xốt Tasbaco"
Gà Xào Cà Ri,Thịt gà má đùi lọc xương,200g
Gà Xào Cà Ri,Thơm chín,1/4 quả
Gà Xào Cà Ri,Hành tây,1/2 củ nhỏ
Gà Xào Cà Ri,Nước cốt dừa,2M
Gà Xào Cà Ri,Hành tỏi băm,1M
Gà Xào Cà Ri,Xà lách búp,2 cây
Gà Xào Cà Ri,"Lá chanh, ớt sừng cắt sợi",
Gà Xào Cà Ri,"Bột cà ri, dầu hào, dầu ăn",
Cá Rô Kho Cà Na,Cá rô,2 con (khoảng 400g)
Cá Rô Kho Cà Na,Cà na muối xổi,200g
Cá Rô Kho Cà Na,Thịt ba chỉ,100g
Cá Rô Kho Cà Na,Dừa tươi,1 trái
Cá Rô Kho Cà Na,"Hành tím băm Hành lá, ngò rí, ớt cắt khoanh",
Cá Rô Kho Cà Na,"Muối, đường, nước mắm, dầu ăn",
Salad Thịt Bò Chiên,Thịt thăn bò,200g
Salad Thịt Bò Chiên,Xà lách xoong,200g
Salad Thịt Bò Chiên,Củ sen lát,200g
Salad Thịt Bò Chiên,Khoai môn cau,200g
Salad Thịt Bò Chiên,Gừng băm,1M
Salad Thịt Bò Chiên,Mè trắng rang giã,2M
Salad Thịt Bò Chiên,"Rau húng lủi, ớt sừng cắt sợi(","1 quả), ớt sừng băm nhỏ( 1 quả)."
Salad Thịt Bò Chiên,"Dầu ăn, nước mắm, sữa đặc, tiêu",
Lẩu Khoai Mỡ,Khoai mỡ tím,200g
Lẩu Khoai Mỡ,Giò sống chay,200g
Lẩu Khoai Mỡ,Sườn non chay chiên sẵn,20g
Lẩu Khoai Mỡ,Hạt sen luộc,50g
Lẩu Khoai Mỡ,Nước dùng chay,2 lít
Lẩu Khoai Mỡ,Rau đắng,300g
Lẩu Khoai Mỡ,Boa rô băm,1M
Lẩu Khoai Mỡ,Boa rô phi,1M
Lẩu Khoai Mỡ,"Ngò gai , ớt hiểm",
Lẩu Khoai Mỡ,"Đường, tiêu, bột năng, dầu ăn",
Lẩu Khoai Mỡ,Nước mắm chay,
Cá Nướng Mù Tạt,Cá thu nhật,400g
Cá Nướng Mù Tạt,Lòng đỏ trứng,1 quả
Cá Nướng Mù Tạt,"Bắp cải bào, dưa leo, húng quế, cà chua bi",
Cá Nướng Mù Tạt,"Đường, muối, dầu ăn, tiêu, rượu trắng, mù tạt vàng.",
Gỏi Xoài Cá Cơm Chiên,Cá cơm nhỏ,150g
Gỏi Xoài Cá Cơm Chiên,Xoài keo,1 trái
Gỏi Xoài Cá Cơm Chiên,Hành tây,1/2 củ
Gỏi Xoài Cá Cơm Chiên,Cần tây,50g
Gỏi Xoài Cá Cơm Chiên,Lá cần tây non,20g
Gỏi Xoài Cá Cơm Chiên,Húng lủi,20g
Gỏi Xoài Cá Cơm Chiên,Ớt sừng,1 trái
Gỏi Xoài Cá Cơm Chiên,Nước chanh dây,4M
Gỏi Xoài Cá Cơm Chiên,"Tỏi ớt băm, hành tím phi, hạt điều rang",
Gỏi Xoài Cá Cơm Chiên,Bánh phồng tôm,
Gỏi Xoài Cá Cơm Chiên,"Đường, nước mắm, dầu ăn.",
Cá Chuồn Kho Mít Non,Cá chuồn,2 con (khoảng 400g)
Cá Chuồn Kho Mít Non,Mít non,300g
Cá Chuồn Kho Mít Non,Cà chua cắt hạt lựu,2 trái
Cá Chuồn Kho Mít Non,Cà chua bi cắt đôi,100g
Cá Chuồn Kho Mít Non,Thịt ba chỉ,100g
Cá Chuồn Kho Mít Non,Ớt hiểm,4 trái
Cá Chuồn Kho Mít Non,Hành lá,5 cây
Cá Chuồn Kho Mít Non,Nước mía,2/3 chén
Cá Chuồn Kho Mít Non,Nước màu điều,1M
Cá Chuồn Kho Mít Non,"Ớt bột, muối, đường Nước mắm, dầu ăn",
Thịt Ba Rọi Nướng Lá Chanh,Thịt ba rọi,600g
Thịt Ba Rọi Nướng Lá Chanh,Lá chanh,10 lá
Thịt Ba Rọi Nướng Lá Chanh,Sả bào,2M
Thịt Ba Rọi Nướng Lá Chanh,Ớt hiểm cắt nhỏ,1M
Thịt Ba Rọi Nướng Lá Chanh,Hành tím cát lát,3M
Thịt Ba Rọi Nướng Lá Chanh,Tỏi cô đơn cắt lát,3M
Thịt Ba Rọi Nướng Lá Chanh,Kiệu chua cắt sợi,2M
Thịt Ba Rọi Nướng Lá Chanh,Lá chanh cắt nhuyễn,
Thịt Ba Rọi Nướng Lá Chanh,Ăn kèm,"dưa leo, cà rốt, đu đủ bóp chua rau rừng, bánh tráng phơi sương"
Thịt Ba Rọi Nướng Lá Chanh,"Dầu ăn, nước mắm, mật ong, đường",
Chả Giò Ngũ Vị,Da bò bía tươi,20 miếng
Chả Giò Ngũ Vị,Thịt bò xay,100g
Chả Giò Ngũ Vị,Giò sống,100g
Chả Giò Ngũ Vị,Lòng đỏ trứng vịt muối,2 cái
Chả Giò Ngũ Vị,Trứng gà,2 quả
Chả Giò Ngũ Vị,Củ năng gọt vỏ,50g
Chả Giò Ngũ Vị,Khoai lang,100g
Chả Giò Ngũ Vị,Hành tỏi phi,3M
Chả Giò Ngũ Vị,Cọng cần cắt nhuyễn,2M
Chả Giò Ngũ Vị,"Hành lá cắt khúc, ớt cắt sợi",
Chả Giò Ngũ Vị,"Ớt tabasco, tương ớt chua ngọt",
Chả Giò Ngũ Vị,"Muối, đường, bột năng, ngũ vị hương, dầu ăn",
Bò Cuộn Rau Củ,Ba chỉ bò đông lạnh,300g
Bò Cuộn Rau Củ,Hành tây,1/2 củ
Bò Cuộn Rau Củ,Ớt chuông đỏ,1/2 quả
Bò Cuộn Rau Củ,"Bí ngòi xanh, vàng",1/2 quả
Bò Cuộn Rau Củ,Ớt hiểm băm,1m
Bò Cuộn Rau Củ,Lá hương thảo băm,3 nhánh
Bò Cuộn Rau Củ,"Rượu vang đỏ, đường, tiêu, dầu ăn, muối",
Canh Rau Má Khoai Lang,Thịt bò xay,150g
Canh Rau Má Khoai Lang,Giò sống,50g
Canh Rau Má Khoai Lang,Rau má non,100g
Canh Rau Má Khoai Lang,Khoai lang bí,150g
Canh Rau Má Khoai Lang,Hành tím bào,1M
Canh Rau Má Khoai Lang,Hành tím băm,1M
Canh Rau Má Khoai Lang,Gừng cắt sợi,
Canh Rau Má Khoai Lang,Nước dùng,"1,2 lít"
Canh Rau Má Khoai Lang,"Muối, đường, tiêu, dầu ăn, bột năng",
Cá Kèo Chiên Chấm Tương Bần,Cá kèo làm sạch,400g
Cá Kèo Chiên Chấm Tương Bần,Tương bần,2M
Cá Kèo Chiên Chấm Tương Bần,Đọt rau lang non,200g
